num_healthy_workers,num_in_flight_async_sample_reqs,num_remote_worker_restarts,num_agent_steps_sampled,num_agent_steps_trained,num_env_steps_sampled,num_env_steps_trained,num_env_steps_sampled_this_iter,num_env_steps_trained_this_iter,num_env_steps_sampled_throughput_per_sec,num_env_steps_trained_throughput_per_sec,timesteps_total,num_env_steps_sampled_lifetime,num_agent_steps_sampled_lifetime,num_steps_trained_this_iter,agent_timesteps_total,done,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,info/num_env_steps_sampled,info/num_env_steps_trained,info/num_agent_steps_sampled,info/num_agent_steps_trained,env_runners/episode_reward_max,env_runners/episode_reward_min,env_runners/episode_reward_mean,env_runners/episode_len_mean,env_runners/episodes_timesteps_total,env_runners/num_faulty_episodes,env_runners/num_episodes,env_runners/episode_return_max,env_runners/episode_return_min,env_runners/episode_return_mean,env_runners/episodes_this_iter,timers/training_iteration_time_ms,timers/restore_workers_time_ms,timers/training_step_time_ms,timers/sample_time_ms,counters/num_env_steps_sampled,counters/num_env_steps_trained,counters/num_agent_steps_sampled,counters/num_agent_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,env_runners/hist_stats/episode_reward,env_runners/hist_stats/episode_lengths
4,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,False,40,1f6bb_00000,2024-08-12_18-16-56,1723461416,120.43292903900146,4821.800926685333,36432,Phats-MacBook-Pro-2.local,127.0.0.1,4821.800926685333,40,0,0,0,0,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,60268.807,0.016,60268.77,60268.753,0,0,0,0,46.90350877192983,65.0923976608187,[],[]
4,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,False,41,1f6bb_00000,2024-08-12_18-18-56,1723461536,120.42879009246826,4942.2297167778015,36432,Phats-MacBook-Pro-2.local,127.0.0.1,4942.2297167778015,41,0,0,0,0,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,60266.795,0.016,60266.758,60266.741,0,0,0,0,46.66608187134503,65.50409356725146,[],[]
4,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,False,42,1f6bb_00000,2024-08-12_19-00-21,1723464021,2485.121106863022,7427.350823640823,36432,Phats-MacBook-Pro-2.local,127.0.0.1,7427.350823640823,42,0,0,0,0,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,60278.915,0.015,60278.879,60278.868,0,0,0,0,55.33391812865497,65.34912280701755,[],[]
4,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,False,43,1f6bb_00000,2024-08-12_20-21-37,1723468897,4875.483763933182,12302.834587574005,36432,Phats-MacBook-Pro-2.local,127.0.0.1,12302.834587574005,43,0,0,0,0,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,152782.157,0.015,152782.119,152782.106,0,0,0,0,63.24437869822485,66.52307692307691,[],[]
4,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,False,44,1f6bb_00000,2024-08-12_20-23-37,1723469017,120.4030430316925,12423.237630605698,36432,Phats-MacBook-Pro-2.local,127.0.0.1,12423.237630605698,44,0,0,0,0,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,152761.317,0.025,152761.253,152761.235,0,0,0,0,51.81637426900585,66.80818713450293,[],[]
4,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,False,45,1f6bb_00000,2024-08-12_20-25-38,1723469138,120.41417407989502,12543.651804685593,36432,Phats-MacBook-Pro-2.local,127.0.0.1,12543.651804685593,45,0,0,0,0,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,152746.355,0.027,152746.282,152746.26,0,0,0,0,52.2156976744186,68.23081395348838,[],[]
4,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,False,46,1f6bb_00000,2024-08-12_20-27-38,1723469258,120.41433382034302,12664.066138505936,36432,Phats-MacBook-Pro-2.local,127.0.0.1,12664.066138505936,46,0,0,0,0,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,152726.783,0.027,152726.709,152726.687,0,0,0,0,51.69649122807018,68.21111111111111,[],[]
4,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,False,47,1f6bb_00000,2024-08-12_20-29-39,1723469379,120.44107007980347,12784.50720858574,36432,Phats-MacBook-Pro-2.local,127.0.0.1,12784.50720858574,47,0,0,0,0,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,152728.015,0.028,152727.941,152727.919,0,0,0,0,54.85847953216374,67.259649122807,[],[]
4,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,False,48,1f6bb_00000,2024-08-12_20-31-39,1723469499,120.4131510257721,12904.920359611511,36432,Phats-MacBook-Pro-2.local,127.0.0.1,12904.920359611511,48,0,0,0,0,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,152726.111,0.028,152726.036,152726.013,0,0,0,0,48.180701754385964,66.30409356725146,[],[]
4,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,False,49,1f6bb_00000,2024-08-12_20-33-40,1723469620,120.43518781661987,13025.355547428131,36432,Phats-MacBook-Pro-2.local,127.0.0.1,13025.355547428131,49,0,0,0,0,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,152727.81,0.028,152727.735,152727.713,0,0,0,0,51.97192982456141,66.56374269005849,[],[]
4,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,False,50,1f6bb_00000,2024-08-12_20-35-40,1723469740,120.42128825187683,13145.776835680008,36432,Phats-MacBook-Pro-2.local,127.0.0.1,13145.776835680008,50,0,0,0,0,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,152728.123,0.028,152728.048,152728.026,0,0,0,0,52.747953216374256,66.19999999999999,[],[]
4,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,False,51,1f6bb_00000,2024-08-12_20-37-41,1723469861,120.42068600654602,13266.197521686554,36432,Phats-MacBook-Pro-2.local,127.0.0.1,13266.197521686554,51,0,0,0,0,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,152728.449,0.028,152728.374,152728.353,0,0,0,0,42.444767441860456,65.76162790697674,[],[]
4,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,False,52,1f6bb_00000,2024-08-12_20-39-41,1723469981,120.43477582931519,13386.63229751587,36432,Phats-MacBook-Pro-2.local,127.0.0.1,13386.63229751587,52,0,0,0,0,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,152715.606,0.028,152715.532,152715.51,0,0,0,0,48.21695906432749,66.29415204678364,[],[]
4,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,False,53,1f6bb_00000,2024-08-12_20-41-41,1723470101,120.44379496574402,13507.076092481613,36432,Phats-MacBook-Pro-2.local,127.0.0.1,13507.076092481613,53,0,0,0,0,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,60214.753,0.028,60214.681,60214.661,0,0,0,0,44.58304093567252,65.76725146198831,[],[]
4,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,False,54,1f6bb_00000,2024-08-12_20-43-42,1723470222,120.44967675209045,13627.525769233704,36432,Phats-MacBook-Pro-2.local,127.0.0.1,13627.525769233704,54,0,0,0,0,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,60217.168,0.018,60217.121,60217.107,0,0,0,0,40.44736842105263,66.34327485380118,[],[]
4,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,False,55,1f6bb_00000,2024-08-12_20-45-42,1723470342,120.4416778087616,13747.967447042465,36432,Phats-MacBook-Pro-2.local,127.0.0.1,13747.967447042465,55,0,0,0,0,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,60217.534,0.016,60217.496,60217.485,0,0,0,0,39.5280701754386,65.95672514619883,[],[]
4,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,False,56,1f6bb_00000,2024-08-12_20-47-43,1723470463,120.40836119651794,13868.375808238983,36432,Phats-MacBook-Pro-2.local,127.0.0.1,13868.375808238983,56,0,0,0,0,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,60217.112,0.018,60217.073,60217.062,0,0,0,0,42.215204678362575,65.63216374269005,[],[]
4,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,False,57,1f6bb_00000,2024-08-12_20-49-43,1723470583,120.43839311599731,13988.81420135498,36432,Phats-MacBook-Pro-2.local,127.0.0.1,13988.81420135498,57,0,0,0,0,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,60217.237,0.018,60217.198,60217.188,0,0,0,0,40.312865497076025,65.55555555555557,[],[]
4,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,False,58,1f6bb_00000,2024-08-12_20-51-44,1723470704,120.44656801223755,14109.260769367218,36432,Phats-MacBook-Pro-2.local,127.0.0.1,14109.260769367218,58,0,0,0,0,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,60220.28,0.017,60220.242,60220.232,0,0,0,0,40.536842105263155,65.48596491228069,[],[]
